url,publish,publish time,view,danmu,like,toujinbi,collect,repost,follower,title,author
https://www.bilibili.com/video/av65147328,43701,0.613414352,2220000,388,33000,33000,8426,2467,820,_____________,_____
https://www.bilibili.com/video/av55262387,43627,0.670787037,2058000,3017,96000,96000,215000,14000,219000,______/_______2______5___,___
https://www.bilibili.com/video/av58301720,43654,0.484849537,1971000,4806,90000,90000,158000,10000,639000,______3___________!,_soserious
https://www.bilibili.com/video/av57134602,43644,0.851238426,1627000,8107,68000,68000,138000,5107,457000,__________________....__10_____________,___
https://www.bilibili.com/video/av57537027,43648,0.337141204,1542000,626,5976,5976,3582,1150,735,________...,______
https://www.bilibili.com/video/av61784797,43679,0.060092593,1463000,4111,114000,114000,51000,19000,464000,________________OP_——_____________05,_______
https://www.bilibili.com/video/av56053456,43635,0.708726852,1423000,8614,54000,54000,90000,5826,68000,____18cm________________,-__-
https://www.bilibili.com/video/av54402012,43621,0.625578704,1419000,3775,49000,49000,98000,4331,84000,_________________,_________
https://www.bilibili.com/video/av62100619,43681,0.417175926,1314000,7651,193000,193000,79000,5883,1433000,_______6_____________!,___
https://www.bilibili.com/video/av55215191,43627,0.016643519,1246000,2280,6114,6114,4713,1340,49000,___4%_______“___Helmut Strebl”_____,____
https://www.bilibili.com/video/av55179290,43626,0.797743056,1226000,640,24000,24000,59000,4444,3296000,_____12________________,___Zoey
https://www.bilibili.com/video/av59800324,43665,0.445752315,1174000,4668,46000,46000,52000,4896,639000,_3___35_?_10___________(____),_soserious
https://www.bilibili.com/video/av61919680,43679,0.893449074,1140000,898,3004,3004,3099,275,21000,____________________,_____
https://www.bilibili.com/video/av59922851,43666,0.750034722,1130000,7666,58000,58000,8142,2129,1434000,_________vs________ _50_/_vs1000_/__,___
https://www.bilibili.com/video/av64328457,43695,0.964363426,1100000,747,32000,32000,16000,2474,433,___________________.,TOP____
https://www.bilibili.com/video/av62696059,43685,0.29525463,1096000,4529,43000,43000,49000,7094,3296000,_______________________,___Zoey
https://www.bilibili.com/video/av57344190,43646,0.667488426,1086000,130,1969,1969,1078,464,2228,_______,____
https://www.bilibili.com/video/av57900343,43651,0.375416667,1081000,22,822,822,436,50,487,_________,_______
https://www.bilibili.com/video/av57014874,43643,0.757465278,1044000,7856,53000,53000,157000,8072,294000,“__”_____10_____HIIT|______________|_________|____,____
https://www.bilibili.com/video/av62927903,43686,0.90662037,1035000,5242,71000,71000,162000,16000,44000,_________________________,______Chans-Li
https://www.bilibili.com/video/av64001959,43693,0.840520833,1019000,2101,20000,20000,18000,1717,604000,__30____3____________,_____
https://www.bilibili.com/video/av62490941,43683,0.754618056,976000,1797,47000,47000,72000,10000,70000,_________________________,___
https://www.bilibili.com/video/av63078403,43687,0.700300926,971000,913,2800,2800,2409,1329,8008,______________,____Video
https://www.bilibili.com/video/av59844832,43665,0.833912037,936000,4902,35000,35000,77000,3257,457000,____________________________1____,___
https://www.bilibili.com/video/av62938729,43686,0.733194444,870000,854,15000,15000,9240,7714,27000,_______,____toMuscleTV
https://www.bilibili.com/video/av56702365,43640,0.823263889,853000,4687,48000,48000,63000,4919,96000,________,___
https://www.bilibili.com/video/av60016845,43666,0.840196759,850000,41,1455,1455,5166,111,8668,________________,_______
https://www.bilibili.com/video/av56853964,43642,0.293333333,849000,3317,9306,9306,6172,726,24000,_30___30__DAY16 ______~______________+__+__~______~_______________UP___________,SalutMaggy58
https://www.bilibili.com/video/av61366231,43676,0.4796875,842000,3149,31000,31000,29000,3700,639000,_______?_7_________!________(___),_soserious
https://www.bilibili.com/video/av55421284,43629,0.347337963,841000,3086,24000,24000,38000,4081,132000,______________________________,___
https://www.bilibili.com/video/av60453615,43669,0.890335648,841000,991,27000,27000,121000,2682,236000,________________/__________,____Sophie
https://www.bilibili.com/video/av63865440,43692,0.94556713,810000,1358,27000,27000,71000,3749,3296000,_______________________Zoey_,___Zoey
https://www.bilibili.com/video/av64631656,43697,0.992905093,789000,1682,14000,14000,107000,3416,9578,_______zoey ____ _________,_____cat
https://www.bilibili.com/video/av57456268,43647,0.652638889,768000,3001,34000,34000,97000,9248,42000,_______________6________________ - Frank Medrano,____
https://www.bilibili.com/video/av55435259,43629,0.550775463,758000,2638,25000,25000,36000,3614,639000,_________3_________!______60_____Ep1,_soserious
https://www.bilibili.com/video/av56193932,43636,0.717337963,756000,6701,27000,27000,7779,674,3296000,_________________________,___Zoey
https://www.bilibili.com/video/av56948498,43643,0.906597222,756000,5223,77000,77000,4607,316,44000,_476__________1__5____,______Chans-Li
https://www.bilibili.com/video/av55284373,43627,0.843541667,746000,782,1948,1948,1435,271,4186,___________________________,__PumpingIron
https://www.bilibili.com/video/av56180040,43636,0.613506944,679000,2906,20000,20000,88000,11000,22000,_4_____Tabata___2__10kg__ __________ _______ _______Allblanc TV_,____
https://www.bilibili.com/video/av61026090,43673,0.894074074,678000,657,4821,4821,1847,668,42000,________________! - ________,____
https://www.bilibili.com/video/av64014595,43693,0.875636574,666000,846,7095,7095,5015,1139,16000,____ ____________,___
https://www.bilibili.com/video/av62468777,43683,0.738657407,655000,1869,32000,32000,63000,4071,96000,_____________,___
https://www.bilibili.com/video/av61890200,43679,0.746145833,623000,5375,27000,27000,100000,5491,294000,____8________________|_______________|____,____
https://www.bilibili.com/video/av66294565,43709,0.750671296,621000,935,29000,29000,100000,4634,447000,____ ____ ____ ____ _____,___
https://www.bilibili.com/video/av65715513,43705,0.596180556,619000,1563,26000,26000,4440,1771,19000,_____________________________,_____
https://www.bilibili.com/video/av54776002,43623,0.6671875,613000,1100,14000,14000,21000,2090,143000,__________________________,FreeToFitness
https://www.bilibili.com/video/av64959950,43700,0.376898148,610000,639,4122,4122,5391,442,16000,MMA___________,_____
https://www.bilibili.com/video/av61609774,43677,0.874398148,600000,1094,19000,19000,42000,3183,40000,30_____________(___),___April
https://www.bilibili.com/video/av60900012,43672,0.965138889,585000,1872,38000,38000,13000,3676,464000,_________________——_______,_______
https://www.bilibili.com/video/av54744334,43622,0.899050926,580000,2485,15000,15000,20000,5470,3296000,_____________________________________,___Zoey
https://www.bilibili.com/video/av64446229,43696,0.84349537,578000,710,26000,26000,13000,4924,12000,_____92____,____
https://www.bilibili.com/video/av63636521,43691,0.484074074,568000,369,3253,3253,12000,622,4241,_156cm__158cm__55kg__45kg_________________500__,____yoko
https://www.bilibili.com/video/av61862293,43679,0.605393519,561000,44,719,719,1753,372,856,________,___
https://www.bilibili.com/video/av59742377,43664,0.9259375,560000,3058,46000,46000,16000,4015,464000,__up_________OP___PV——__________03_____________________,_______
https://www.bilibili.com/video/av55781533,43632,0.686990741,555000,1904,24000,24000,71000,6544,104000,____VLOG___________,_____
https://www.bilibili.com/video/av57712902,43649,0.768414352,552000,1513,9343,9343,3451,701,604000,__7____2L___________5___,_____
